player_id,battle_id,match_res,gamemode,gametip,start_time,character,K/D/A,money,CS,damage,view
kabo87777,,勝,隨機單中,16min 27s,2021-12-01 00:52:58,易大師,9/2/5,$11k,14(0),7710,0(0)
kabo87777,,敗,隨機單中,15min 50s,2021-11-28 02:00:24,塔里克,7/5/31,$10.7k,16(0),5304,0(0)
battle恩,,敗,隨機單中,19min 53s,2021-12-22 02:03:33,珍娜,1/10/27,$10.9k,20(0),9032,0(0)
battle恩,,勝,隨機單中,18min 42s,2021-12-22 01:41:50,珍娜,2/7/33,$11.5k,24(0),11738,0(0)
battle恩,,敗,隨機單中,23min 05s,2021-12-22 01:14:56,珍娜,2/11/40,$13.8k,23(0),11730,0(0)
battle恩,,敗,隨機單中,24min 45s,2021-12-18 23:00:49,卡瑪,9/7/21,$16.2k,61(0),30995,0(0)
battle恩,,勝,一般對戰,31min 59s,2021-12-18 20:21:44,墨菲特,4/9/12,$11.1k,149(0),23601,8(1)
battle恩,,敗,一般對戰,31min 01s,2021-12-18 17:28:42,加里歐,3/7/12,$8.7k,38(4),10385,17(2)
battle恩,,敗,隨機單中,15min 13s,2021-12-18 11:30:12,枷蘿,2/9/10,$9.9k,46(0),17466,0(0)
battle恩,,敗,一般對戰,20min 32s,2021-12-18 11:06:48,加里歐,0/3/1,$4.1k,31(0),4085,12(2)
battle恩,,敗,彈性積分,34min 05s,2021-12-18 10:27:05,科加斯,11/5/7,$17.6k,204(16),30730,11(3)
battle恩,,勝,隨機單中,29min 57s,2021-12-17 02:44:08,茂凱,8/14/32,$19.2k,68(0),60427,0(0)
battle恩,,敗,隨機單中,18min 37s,2021-12-17 02:16:12,魔鬥凱薩,3/10/9,$11.1k,54(0),9506,0(0)
battle恩,,敗,隨機單中,21min 48s,2021-12-17 01:52:07,蒙多醫生,7/9/11,$14.8k,65(0),20740,0(0)
battle恩,,勝,隨機單中,12min 38s,2021-12-17 01:36:41,希維爾,4/5/12,$8.9k,46(0),11719,0(0)
battle恩,,敗,隨機單中,28min 17s,2021-12-15 19:40:26,娜米,3/9/38,$16.3k,20(0),14502,0(0)
battle恩,,敗,一般對戰,22min 59s,2021-12-14 23:00:36,墨菲特,0/4/2,$6.6k,144(0),7930,6(1)
battle恩,,勝,隨機單中,13min 36s,2021-12-14 19:44:12,希維爾,8/6/27,$11.2k,63(0),15634,0(0)
battle恩,,勝,隨機單中,17min 49s,2021-12-14 17:10:38,赫克林,8/8/35,$12.4k,30(0),26646,0(0)
battle恩,,敗,隨機單中,19min 12s,2021-12-14 16:45:28,艾希,2/10/17,$11.4k,47(0),24706,0(0)
battle恩,,敗,隨機單中,23min 25s,2021-12-13 01:42:36,蒙多醫生,9/10/26,$15.7k,47(0),30924,0(0)
battle恩,,勝,一般對戰,33min 32s,2021-12-11 00:30:04,墨菲特,8/5/13,$15.2k,169(8),28018,12(0)
Tristesse,,勝,隨機單中,12min 12s,2021-12-21 18:03:31,夜曲,13/4/5,$9.7k,22(0),8136,0(0)
Tristesse,,勝,隨機單中,17min 28s,2021-12-21 17:42:46,劫,10/8/10,$12.1k,19(0),17773,0(0)
Tristesse,,勝,隨機單中,15min 31s,2021-12-20 20:53:26,齊勒斯,9/4/18,$11.1k,17(0),24655,0(0)
Tristesse,,勝,隨機單中,14min 11s,2021-12-20 20:36:22,索娜,5/4/27,$9.6k,10(0),14714,0(0)
Tristesse,,勝,隨機單中,31min 00s,2021-12-20 17:06:31,逆命,19/11/34,$23.1k,124(0),48889,0(0)
